Enthalpy(kJ/mol),std_enthalpy(kJ/mol),Delta(%),Omega,Entropy(J/K*mol),Tm(K),std_Tm (%),X,std_X(%),VEC,std_VEC,Density(g/com^3),Price(USD/kg)
-19.955,10.25954037,4.184458436,1.023427945,13.29971344,153555.975,0.246831606,1.74525,9.039704965,6.975,3.28243431,5.879319466,4.75
-23.25,10.08053508,4.07373733,0.738703983,11.52629264,149006,0.257145991,1.74,9.590988085,7,3.535533906,5.739310967,5.82
-6.673469388,4.254421564,2.839016752,3.057411144,12.06266411,169146.2143,0.131271048,1.831428571,5.880317865,8.428571429,1.761261144,7.856262923,21.1
-6.673469388,4.254421564,2.839016752,3.057411144,12.06266411,169146.2143,0.131271048,1.831428571,5.880317865,8.428571429,1.761261144,7.856262923,21.1
-7.268793943,3.910516654,2.923500262,3.187248988,12.82599916,180628.8605,0.163670075,1.805348837,5.955432633,7.88372093,1.955425396,7.637742203,19.11
-7.268793943,3.910516654,2.923500262,3.187248988,12.82599916,180628.8605,0.163670075,1.805348837,5.955432633,7.88372093,1.955425396,7.637742203,19.11
-7.268793943,3.910516654,2.923500262,3.187248988,12.82599916,180628.8605,0.163670075,1.805348837,5.955432633,7.88372093,1.955425396,7.637742203,19.11
-7.268793943,3.910516654,2.923500262,3.187248988,12.82599916,180628.8605,0.163670075,1.805348837,5.955432633,7.88372093,1.955425396,7.637742203,19.11
-7.268793943,3.910516654,2.923500262,3.187248988,12.82599916,180628.8605,0.163670075,1.805348837,5.955432633,7.88372093,1.955425396,7.637742203,19.11
-3.82,1.670446946,2.428146672,6.454373226,12.68819767,194320,0.180258398,1.871,6.696721024,8.25,1.444818328,8.589836917,25.43
-3.82,1.670446946,2.428146672,6.454373226,12.68819767,194320,0.180258398,1.871,6.696721024,8.25,1.444818328,8.589836917,25.43
-3.82,1.670446946,2.428146672,6.454373226,12.68819767,194320,0.180258398,1.871,6.696721024,8.25,1.444818328,8.589836917,25.43
-3.82,1.670446946,2.428146672,6.454373226,12.68819767,194320,0.180258398,1.871,6.696721024,8.25,1.444818328,8.589836917,25.43
-3.82,1.670446946,2.428146672,6.454373226,12.68819767,194320,0.180258398,1.871,6.696721024,8.25,1.444818328,8.589836917,25.43
-3.82,1.670446946,2.428146672,6.454373226,12.68819767,194320,0.180258398,1.871,6.696721024,8.25,1.444818328,8.589836917,25.43
-3.82,1.670446946,2.428146672,6.454373226,12.68819767,194320,0.180258398,1.871,6.696721024,8.25,1.444818328,8.589836917,25.43
2.72,1.208370804,4.054054054,12.41242848,13.38161136,252300,0.188828754,1.454,8.133009903,4.4,0.489897949,9.893530612,510.02
2.72,1.208370804,4.054054054,12.41242848,13.38161136,252300,0.188828754,1.454,8.133009903,4.4,0.489897949,9.893530612,510.02
2.72,1.208370804,4.054054054,12.41242848,13.38161136,252300,0.188828754,1.454,8.133009903,4.4,0.489897949,9.893530612,510.02
-7.268793943,3.910516654,2.923500262,3.187248988,12.82599916,180628.8605,0.163670075,1.805348837,5.955432633,7.88372093,1.955425396,7.637742203,19.11
-8.489795918,5.973656509,5.381031291,3.671688014,14.33614643,217435.5714,0.176476469,1.554761905,7.441753432,4.714285714,0.824786099,6.38177745,22.7
-11.63636364,7.473505784,5.858799729,2.675202373,14.69798668,211795.1818,0.215003717,1.557272727,7.296438962,4.636363636,0.881396338,6.217447347,22.29
-16.33333333,9.132765595,6.520506637,1.841738998,14.89751713,201924.5,0.270006432,1.561666667,7.028378154,4.5,0.957427108,5.929169702,21.53
-4.64,3.054020301,4.7428881,6.449705958,13.38161136,223640,0.121444587,1.552,7.595444344,4.8,0.748331477,6.562205721,23.11
-8.489795918,5.973656509,5.381031291,3.671688014,14.33614643,217435.5714,0.176476469,1.554761905,7.441753432,4.714285714,0.824786099,6.38177745,22.7
-11.63636364,7.473505784,5.858799729,2.675202373,14.69798668,211795.1818,0.215003717,1.557272727,7.296438962,4.636363636,0.881396338,6.217447347,22.29
-16.33333333,9.132765595,6.520506637,1.841738998,14.89751713,201924.5,0.270006432,1.561666667,7.028378154,4.5,0.957427108,5.929169702,21.53
-4.64,3.054020301,4.7428881,6.449705958,13.38161136,223640,0.121444587,1.552,7.595444344,4.8,0.748331477,6.562205721,23.11
-8.489795918,5.973656509,5.381031291,3.671688014,14.33614643,217435.5714,0.176476469,1.554761905,7.441753432,4.714285714,0.824786099,6.38177745,22.7
-11.63636364,7.473505784,5.858799729,2.675202373,14.69798668,211795.1818,0.215003717,1.557272727,7.296438962,4.636363636,0.881396338,6.217447347,22.29
