Alloy name (composition),Phase (if known),FCC,BCC,Im,HCP,sigma,Processing (if known),Processing (Binary),Reference,Hardness (HV),Yield strength (MPa),Tensile strength (MPa),Elongation (ductility) %,Compressive strength (MPa),Plasticity  (ductility) %,delete,duplicate
NbMoTaWV ,FCC,1,0,0,0,0,,NA,https://doi.org/10.1016/j.surfcoat.2021.128005 ,5300,,,,,,,
NbTiVZr,BCC,0,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,335,,,,1105,50,,
NbTiVZr,BCC,0,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,,,,,1104,50,,
TaNbHfZr ,FCC,1,0,0,0,0,,NA,https://doi.org/10.1016/j.surfcoat.2021.128005 ,3600,,,,,,,
TaNbHfZr ,FCC,1,0,0,0,0,,NA,https://doi.org/10.1016/j.surfcoat.2021.128005 ,15300,,,,,,,
Al0.5HfNbTaTiZr,BCC,0,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,396,,,,1302,46,,
Al0.5MoNbTiV,BCC,0,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,487,,,,1625,11,,
Al0.5NbTa0.8Ti1.5V0.2Zr,BCC,0,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,530,,,,2035,5,,
Al0.5NbTaTiV,BCC,0,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,,,,,1014,,,
Al0.62CoCrFeMnNi,FCC + BCC,1,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,405,833,,5,,,,
Al0.68CoCrFeMnNi,FCC + BCC,1,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,486,,,,,,,
Al0.75CoCrCu0.25FeNiTi0.5,FCC + BCC,1,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,,,,,1900,12,,
Al0.75CoCrFeMnNi,FCC + BCC,1,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,530,,,,,,,
